4755089, 4756150, 4752930
4833361, 4838679, 4833049
4906315, 4918672, 4909214
4974593, 4992444, 4979872
5043086, 5064067, 5049723
5108889, 5135910, 5115504
5170200, 5206566, 5184060
5230257, 5277110, 5249111
5290125, 5346659, 5311268
5348919, 5415981, 5371738
5406765, 5482196, 5429958
5460694, 5546755, 5485411
5512670, 5612205, 5539606
5563935, 5677976, 5590643
5614843, 5741325, 5640951
5663588, 5803489, 5692567
5712304, 5865106, 5742064
5757957, 5926483, 5789973
5803572, 5985764, 5837554
5844396, 6042954, 5879992
5885596, 6100608, 5923121
5927550, 6158503, 5965778
5966777, 6215272, 6005123
6005012, 6271443, 6044387
6041406, 6325598, 6085199
6079398, 6378814, 6122644
6114408, 6432782, 6160111
6146695, 6484462, 6196660
6178626, 6536340, 6232045
6211755, 6589089, 6266775
6244929, 6638994, 6300228
6276779, 6686995, 6331436
6306261, 6735060, 6360132
6334260, 6781672, 6390560
6362478, 6826196, 6419807
6388533, 6870368, 6449436
6413956, 6913604, 6478077
6438706, 6956832, 6506600
6462500, 6998112, 6531633
6487001, 7032327, 6557485
6511209, 7055527, 6582058
6535308, 7066162, 6605476
6559234, 7071858, 6628089
6580332, 7074016, 6651551
6603093, 7074289, 6673794
6625613, 7074840, 6695661
6644969, 7074579, 6716579
6664981, 7075971, 6737206
6683371, 7077208, 6756194
6700556, 7077795, 6776318
6717929, 7080195, 6624778
6736623, 7081557, 6501440
6753144, 7082592, 6406409
6768930, 7084010, 6339579
6784557, 7087336, 6298561
6801446, 7090105, 6266364
6815344, 7091954, 6251882
6829414, 7092915, 6248640
6845698, 7094690, 6249010
6862813, 7096076, 6244612
6878136, 7097176, 6242976
6891967, 7098783, 6238966
6905928, 7100235, 6233637
6918888, 7101369, 6233110
6929590, 7102117, 6235104
6941395, 7103617, 6232138
6952451, 7104891, 6228723
6963166, 7106206, 6229181
6972815, 7108237, 6229219
6981159, 7109554, 6228846
6989269, 7109692, 6230196
6994393, 7109802, 6233329
6997720, 7109966, 6230214
7002328, 7110138, 6228909
7005326, 7110995, 6232881
7008479, 7111436, 6234387
7009798, 7111577, 6237056
7009672, 7111595, 6236751
7011202, 7111638, 6236636
7012655, 7111657, 6234249
7012800, 7111666, 6229283
7013813, 7111606, 6227703
7014344, 7111671, 6227012
7014897, 7111681, 6230260
7014622, 7111804, 6237149
7015088, 7111881, 6242518
7013545, 7111902, 6241475
7013369, 7111902, 6239341
7012305, 7111902, 6240519
7013172, 7111902, 6240353
7013813, 7111902, 6235006
7013425, 7111902, 6234813
7013153, 7111902, 6235037
7013153, 7111902, 6233640
7013082, 7111902, 6231773
7013445, 7111902, 6227625
7012968, 7111902, 6222880
7012702, 7111902, 6218343
7013146, 7111902, 6216872
7012233, 7111902, 6219143
7012470, 7111902, 6056337
7013745, 7111902, 5934333
7014196, 7111902, 5846393
7015711, 7111902, 5801316
7014339, 7111902, 5781607
7014471, 7111902, 5770593
7014084, 7111902, 5760704
7013098, 7111902, 5759464
7013864, 7111902, 5764749
7014098, 7111902, 5762951
7014561, 7111902, 5756629
7014242, 7111902, 5743705
7012877, 7111902, 5744276
7012695, 7111902, 5746592
7013800, 7111902, 5752786
7013785, 7111902, 5757412
7013565, 7111902, 5766251
7013429, 7111902, 5771834
7013833, 7111902, 5768446
7013662, 7111902, 5765874
7013052, 7111902, 5766201
7013324, 7111902, 5763008
7013956, 7111902, 5757250
7013101, 7111902, 5759953
7012350, 7111902, 5761856
7013341, 7111902, 5767444
7014316, 7111902, 5765072
7013503, 7111902, 5757110
7013881, 7111902, 5754982
7013991, 7111902, 5756120
7013272, 7111902, 5767397
7013858, 7111902, 5776616
7013180, 7111902, 5776167
7013618, 7111902, 5772996
7013840, 7111902, 5756901
7014225, 7111902, 5753504
7014177, 7111902, 5754864
7014158, 7111902, 5755444
7015176, 7111902, 5754589
7013565, 7111902, 5760058
7014379, 6872311, 5766266
7012793, 6701577, 5774833
7013474, 6573713, 5775991
7012931, 6490560, 5767790
7012464, 6452387, 5755834
7011539, 6438983, 5753612
7011477, 6437855, 5752392
7011576, 6439812, 5757872
7010981, 6442095, 5763623
7013364, 6443455, 5765025
7013353, 6436733, 5503159
7013857, 6430955, 5337950
7013641, 6429384, 5243877
7012589, 6434005, 5209599
7013147, 6440459, 5201371
7013135, 6442548, 5196621
7013112, 6440896, 5192032
7012999, 6441219, 5184683
7013341, 6441752, 5183262
7013346, 6440142, 5189049
7013235, 6442578, 5193799
7013026, 6444756, 5187448
7012508, 6446484, 5185038
7012173, 6445975, 5181365
7011940, 6440672, 5179708
7013254, 6441515, 5183087
7011516, 6440834, 5187270
7012569, 6444739, 5183108
7011649, 6443149, 5182427
7012768, 6447240, 5185061
7012454, 6446249, 5181900
7011199, 6447230, 5183217
7010456, 6447848, 5181764
7010040, 6442188, 5188065
7011899, 6441148, 5190170
7011666, 6442044, 5187346
7013980, 6443502, 5183086
7013085, 6444012, 5181309
7012078, 6446482, 5184863
7011838, 6449022, 5182742
7012364, 6445549, 5175030
7011314, 6440151, 5173394
7011292, 6434731, 5180582
7010740, 6433078, 5185570
7011496, 6432231, 5191080
7012290, 6428574, 5186622
7013261, 6427017, 5189202
7013304, 6429233, 5189440
7013419, 6437611, 5187417
7012788, 6437388, 5185615
7011893, 6439872, 5183977
7011167, 6444037, 5186847
7012308, 6444504, 5195550
7012544, 6442320, 5186659
7011802, 6442731, 5187150
7011780, 6440144, 5189182
7012290, 6444300, 5192207
7011471, 6444872, 5187747
7012324, 6437627, 5190966
7012112, 6433047, 5192345
